ID,Inscription,Date,Date Strength,Inscription Type,Object Type,Altered,Visuals,Text Format,Sponsor Type,Honorand Type
552,Regulation(?) concerning dedications in the santuary,150,Unusable Dating,Edict/Regulation,Other/Fragment,,,Standard,,
553,Measuring Table,150,Unusable Dating,Other/Fragment,Other/Fragment,,,Standard,,
554,Architrave,150,Unusable Dating,Other/Fragment,Building or Monument,,,Standard,,
555,Structure,150,Unusable Dating,Other/Fragment,Other/Fragment,,,Standard,,
556,Structure?,150,Unusable Dating,Other/Fragment,Other/Fragment,,,Standard,,
557,SB| Unknown,150,Unusable Dating,Dedication,Base,,,Standard,,
558,SB| Son or daughter of a Nummius,150,Unusable Dating,Dedication,Base,,,Standard,Public Organ(s),
559,Dedicatory Base,150,Unusable Dating,Dedication,Base,,,Standard,,
560,SB| Unknown,150,Unusable Dating,Dedication,Base,,,Standard,,
561,SB| Unknown,150,Unusable Dating,Dedication,Base,,,Standard,,
562,SB| Unknown,150,Unusable Dating,Dedication,Base,,,Standard,,
563,SB| Unknown,150,Unusable Dating,Dedication,Base,,,Standard,,
564,SB| Unknown,150,Unusable Dating,Dedication,Base,,,Standard,,
565,SB| Unknown,150,Unusable Dating,Dedication,Base,,,Standard,,
566,SB| Unknown,150,Unusable Dating,Dedication,Base,,,Standard,,
567,SB| Unknown,150,Unusable Dating,Dedication,Base,,,Standard,,
568,"SB| Unknown, HI",150,Unusable Dating,Dedication,Base,,,Standard,,Hearth-Initiate
569,SB| Unknown,150,Unusable Dating,Dedication,Base,,,Standard,,
570,SB| Unknown,150,Unusable Dating,Dedication,Base,,,Standard,Public Organ(s),
571,SB| Unknown,150,Unusable Dating,Dedication,Base,,,Standard,Public Organ(s),
572,Statue Base?,150,Unusable Dating,Dedication,Base,,,Standard,Public Organ(s),
573,SB| Unknown,150,Unusable Dating,Dedication,Base,,,Standard,Public Organ(s),
574,SB| Unknown,150,Unusable Dating,Dedication,Base,,,Standard,Public Organ(s),
575,Statue Base?,150,Unusable Dating,Dedication,Base,,,Standard,Public Organ(s),
576,SB| Unknown,150,Unusable Dating,Dedication,Base,,,Standard,Public Organ(s),
577,Herm for Unknown,150,Unusable Dating,Dedication,Column/Herm,,,Standard,Public Organ(s),
578,SB| Unknown,150,Unusable Dating,Dedication,Base,,,Standard,Public Organ(s),
579,SB| Unknown,150,Unusable Dating,Dedication,Base,,,Standard,Public Organ(s),
580,SB| Unknown,150,Unusable Dating,Dedication,Base,,,Standard,,
581,SB| Unknown,150,Unusable Dating,Dedication,Base,,,Standard,,
582,SB| Unknown,150,Unusable Dating,Dedication,Base,,,Standard,,
583,SB| Unknown,150,Unusable Dating,Dedication,Base,,,Standard,,
584,Dedication?,200,Unusable Dating,Dedication,Base,,,Standard,,
585,SB| Unknown,200,Unusable Dating,Dedication,Base,,,Standard,,
586,Epigrapm,200,Unusable Dating,Other/Fragment,Base,,,Standard,,
587,"SB| Tit. Fl. Ateimetos s. Tit. Fl. Agathon of Peiraieus, HI",200,Unusable Dating,Dedication,Base,,,Standard,Public Organ(s),Hearth-Initiate
588,"SB| Sabeiniane Hamillo, Priestess of Athena Polias, PROBABLY NOT FROM SANCTUARY",200,Unusable Dating,Dedication,Base,,,Standard,Public Organ(s),Sacred Official
589,Base for Philoi,200,Unusable Dating,Other/Fragment,Base,,,Standard,,Other/Private
590,SB| Daughter of Pythokhrestos Exegete,200,Unusable Dating,Dedication,Base,,,Standard,,Sacred Official
591,"SB| Unknown, HI",200,Unusable Dating,Dedication,Base,,,Standard,,Hearth-Initiate
592,SB| Unknown,200,Unusable Dating,Dedication,Base,,,Standard,Public Organ(s),
593,SB| Pompeia A[-],200,Unusable Dating,Dedication,Base,,,Standard,Private,Other/Private
594,SB| Unknown Priestess of D&K,200,Unusable Dating,Dedication,Base,,,Standard,,Sacred Official
595,SB| Celebrating a victory,200,Unusable Dating,Dedication,Base,,,Standard,,
596,SB| Unknown,200,Unusable Dating,Dedication,Base,,,Standard,,
597,Statue Base? For an Emperor,200,Unusable Dating,Dedication,Base,,,Standard,,Imperial Family
598,Dedication for Unknown,200,Unusable Dating,Dedication,Base,,,Standard,,
599,SB| P. Aelius [-],200,Unusable Dating,Dedication,Base,,,Standard,,
600,Dedicatory Base,200,Unusable Dating,Dedication,Base,,,Standard,,
601,SB| Unkown Official,200,Unusable Dating,Dedication,Base,,,Standard,,
602,Statue Base?,200,Unusable Dating,Dedication,Base,,,Standard,,
603,Statue Base?,200,Unusable Dating,Dedication,Base,,,Standard,,
604,SB| Unknown,200,Unusable Dating,Dedication,Base,,,Standard,Public Organ(s),
605,SB| Unknown,200,Unusable Dating,Dedication,Base,,,Standard,,
606,SB| Unknown,200,Unusable Dating,Dedication,Base,,,Standard,,
607,Dedicatory Base?,200,Unusable Dating,Dedication,Base,,,Standard,,
608,Statue Base?,200,Unusable Dating,Dedication,Base,,,Standard,,
609,SB| Unknown,200,Unusable Dating,Dedication,Base,,,Standard,,
610,Statue Base?,200,Unusable Dating,Dedication,Base,,,Standard,,
611,SB| Unknown,200,Unusable Dating,Dedication,Base,,,Standard,,
612,SB| Unknown,200,Unusable Dating,Dedication,Base,,,Standard,,
613,Statue Base?,200,Unusable Dating,Dedication,Base,,,Standard,,
614,Statue Base?,200,Unusable Dating,Dedication,Base,,,Standard,,
615,Statue Base?,200,Unusable Dating,Dedication,Base,,,Standard,,
616,Statue Base?,200,Unusable Dating,Dedication,Base,,,Standard,,
617,SB| Unknown,200,Unusable Dating,Dedication,Base,,,Standard,,
618,Decree?,200,Unusable Dating,Dedication,Other/Fragment,,,Standard,,
619,Dedication of a Bath,200,Unusable Dating,Dedication,Other/Fragment,,,Standard,,
620,Statue Base?,200,Unusable Dating,Other/Fragment,Base,,,Standard,,
621,"SB| Poplia Aelia Herennia d. of P. Aelius Apollonios, HI",200,Approximate,Dedication,Base,,,Standard,Private,Hearth-Initiate
622,"SB| Grandson of T. Kl. Sospis, Daduch",200,Good,Dedication,Base,,,Standard,,
623,"SB| Sekoundos, Eumolpid",200,Good,Dedication,Base,,,Standard,Public Organ(s),Other/Private
624,SB| M. Aurelius Prosdektos Pistokratous Kephalethen,200,Good,Dedication,Base,,,Standard,Roman/Imperial/Panhellenic,Sacred Official
625,"SB| M. Gavius Gallicanus, Proconsul Asiae, Eumolpid",200,Good,Dedication,Base,,,Standard,,Foreign
626,SB| Sophist P. Herennius Ptolemaios s. P. Herennius Hierokeryx,220,Good,Dedication,Base,,,Standard,Public Organ(s),Sacred Official
627,SB| P. Herennius Ptolemaios of Hermos,220,Approximate,Dedication,Base,,,Standard,,
628,SB| Xenagoras son of Xenagoras and Praxagora,220,Good,Dedication,Base,,,Standard,Private,Other/Private
629,SB| Sister of Licinius Kallistomachos,205,Good,Dedication,Base,,,Standard,,Other/Private
630,SB| Fulvius Plautianus,204,Good,Dedication,Base,,,Standard,Public Organ(s),
631,SB| Hierophant Apollinarios,210,Good,Dedication,Base,,,Standard,,Sacred Official
632,"SB| Klaudia Menandra, d. of Daduch Klaudios Philippos",210,Good,Dedication,Base,,,Standard,Public Organ(s),Other/Private
633,"SB| Rouphenia, mother of Iulius Hierokeryx",217,Good,Dedication,Base,,,Standard,,Other/Private
634,SB| Ptolemaios son of Serenos of Gaza,205,Good,Dedication,Base,,,Standard,,Other/Private
635,"Statue Base for Aurelia Magna, Hearth-Initiate",215,Good,Dedication,Base,,,Standard,Public Organ(s),Hearth-Initiate
636,"Statue Base for Aur. Paramona, Daughter of Aur. Paramonos of Lamptrai, Hearth-Initiate",215,Good,Dedication,Base,,,Standard,Public Organ(s),Hearth-Initiate
637a,"Statue Base for Apollonios Son of Apollonios, Hierophant",215,Good,Dedication,Base,,,Standard,,Sacred Official
637b,"Statue Base for Apollonios Son of Apollonios, Hierophant",220,Good,Dedication,Base,,,Standard,,Sacred Official
638,Decree of the Athenians Concerning the Transport of the Sacred Objects,220,Good,Decree,Stele,,,Standard,Public Organ(s),
639,"Statue Base for Honoratiane Polycharmis, Daughter of Honoratianus Polycharmos, Hearth-Initiate",220,Good,Dedication,Base,,,Standard,Private,Hearth-Initiate
640,"Dedication Honoring Fabius [---], Hearth-Initiate",237,Approximate,Dedication,Base,,,Standard,Private,Hearth-Initiate
641,Statue Base for [E]unike Daughter of Kallaischros of [Phil]aidai,237,Approximate,Dedication,Base,,,Standard,,Hearth-Initiate
642,"Statue Base for Polyzelos Xeinagorou, Hearth-Initiate",237,Good,Dedication,Base,,,Standard,Private,Hearth-Initiate
643,Edict,230,Approximate,Edict/Regulation,Stele,,,Standard,,
644,Statue Base for [Marcus U]lpius E[ubiotos Leuros Gargettios],230,Good,Dedication,Base,,,Standard,,Other/Private
645,Statue Base for Casianus Hierokeryx,235,Good,Dedication,Base,,,Standard,Public Organ(s),Sacred Official
646,"Statue Base for (T. Flavius) Glaukos (Glaukou Marathonios), Hierphant",235,Good,Dedication,Base,,,Standard,,Hearth-Initiate
647,Herm Dedicated to the Emperor Maximinus,235,Good,Dedication,Column/Herm,,,Standard,,Sacred Official
648,"Statue Base for Iunia Themistokleia daughter of Honoratiane Polycharmis, Hearth-Initiate",240,Good,Dedication,Base,,,Standard,,Hearth-Initiate
649,Statue Base for a Hierophant,240,Good,Dedication,Base,,,Standard,,Hearth-Initiate
650,"Statue Base for Nikagoras, Sacred Herald and Sophist",250,Good,Dedication,Base,,,Standard,,Sacred Official
651,"Dionysia Daughter of Hermippis, Priestess of Demeter",250,Approximate,Dedication,Base,,,Standard,,Sacred Official
652,Statue Base for a Relative of an Orator,250,Weak,Dedication,Base,,,Standard,,Other/Private
653,"Statue Base for T. Flavius, Priest upon the Altar",250,Weak,Dedication,Base,,,Standard,,Sacred Official
654,"Statue Base for Aerarius Sospatros, Daduch",275,Approximate,Dedication,Base,,,Standard,Public Organ(s),Sacred Official
655,Letter of Gallienus to the Athenians Concerning Eleusinian Matters,265,Good,Other/Fragment,Stele,,,Standard,Roman/Imperial/Panhellenic,
656,"Statue Base for P. Aelius Herennius Dexippos of Hermos, Panages Priest",270,Good,Dedication,Base,,,Standard,,Sacred Official
657,Statue Base with Verse Dedication,270,Approximate,Dedication,Base,,,Standard,,
658,"Dedicatory Base Set Up by Initiates, Pyrro[s] and Roupheinos",270,Approximate,Dedication,Base,,,Standard,Private,
659,Statue Base for Eunike Kallaischrou (Marathoniou),280,Good,Dedication,Base,,,Standard,,Other/Private
660,Statue Base for the Emperors Diocletiana nd Maximianus,296,Good,Dedication,Base,,,Standard,Public Organ(s),Imperial Family
661,Statue Base for a Proconsul,250,Poor,Dedication,Base,,,Standard,,Foreign
662,Statue Base,250,Unusable Dating,Dedication,Base,,,Standard,Public Organ(s),
663,Statue Base for an Exegete [of the Eumolpidai?],250,Unusable Dating,Dedication,Base,,,Standard,,Sacred Official
664,Statue Base?,250,Unusable Dating,Other/Fragment,Base,,,Standard,,
665,Statue Base,250,Unusable Dating,Dedication,Base,,,Standard,,
666,Dedicatory Base,,Unusable Dating,Dedication,Base,,,Standard,Private,Other/Private
667,Dedictory Base,,Unusable Dating,Dedication,Base,,,Standard,Public Organ(s),
668,Altar Dedicated to Kourotrophos,,Unusable Dating,Dedication,Altar,,,Standard,,Sacred Official
669,Altar,,Unusable Dating,Dedication,Altar,,,Standard,,Divinity
670,Base?,,Unusable Dating,Dedication,Base,,,Standard,,
671,Base?,,Unusable Dating,Dedication,Base,,,Standard,,
672,Fragment,,Unusable Dating,Other/Fragment,Other/Fragment,,,Standard,,
673,Base,,Unusable Dating,Dedication,Base,,,Standard,,
